ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-11-21 04:31:22+00:00,linux,204306,US,Barry Bonds,Kanye West,Graduation,spotify:track:7387VaiHpOsSIZ5nmjseya,trackdone,trackdone,False,False,False,1732163277.0,False
2024-11-21 04:36:35+00:00,linux,313226,US,Drunk and Hot Girls,Kanye West,Graduation,spotify:track:7DRuzSlhjKadgdsQRYZ0tr,trackdone,trackdone,False,False,False,1732163481.0,False
2024-11-21 04:40:32+00:00,linux,237506,US,Flashing Lights,Kanye West,Graduation,spotify:track:5TRPicyLGbAF2LGBFbHGvO,trackdone,trackdone,False,False,False,1732163795.0,False
2024-11-21 04:44:20+00:00,linux,227893,US,Everything I Am,Kanye West,Graduation,spotify:track:0NrtwAmRAdLxua31SzHvXr,trackdone,trackdone,False,False,False,1732164032.0,False
2024-11-21 04:47:53+00:00,linux,212706,US,The Glory,Kanye West,Graduation,spotify:track:0lWjRSzq5chA9fps3pM8Zr,trackdone,trackdone,False,False,False,1732164260.0,False
2024-11-21 04:48:52+00:00,linux,56994,US,Homecoming,Kanye West,Graduation,spotify:track:4iz9lGMjU1lXS51oPmUmTe,trackdone,remote,False,False,False,1732164473.0,False
2024-11-21 04:51:20+00:00,android,145282,US,Homecoming,Kanye West,Graduation,spotify:track:4iz9lGMjU1lXS51oPmUmTe,remote,trackdone,False,False,False,1732164531.0,False
2024-11-21 04:56:07+00:00,android,287560,US,Big Brother,Kanye West,Graduation,spotify:track:2L47m9erkB5KBZcaqWtYen,trackdone,trackdone,False,False,False,1732164679.0,False
2024-11-21 04:59:13+00:00,android,185973,US,Good Night,Kanye West,Graduation,spotify:track:3bhyo2ED5Yd4RLydQBDtD6,trackdone,trackdone,False,False,False,1732164967.0,False
2024-11-21 06:38:12+00:00,android,254733,US,Pigs,"Tyler, The Creator",Wolf,spotify:track:5L4n81Ecf8UE837uJkuoJJ,clickrow,trackdone,False,False,False,1732170833.0,False
2024-11-21 06:38:22+00:00,android,0,US,Parking Lot (feat. Casey Veggies & Mike G),"Tyler, The Creator",Wolf,spotify:track:1UBLglX9fPtTBZSwJj4yVG,trackdone,endplay,False,True,False,1732171092.0,False
2024-11-21 06:42:11+00:00,android,230066,US,Answer,"Tyler, The Creator",Wolf,spotify:track:6rqj2zeKhLy3exkuFi6mSz,clickrow,trackdone,False,False,False,1732171102.0,False
2024-11-21 06:42:27+00:00,android,0,US,Slater (feat. Frank Ocean),"Tyler, The Creator",Wolf,spotify:track:5wTpnBRTx1HSGQVDZQ2VSh,trackdone,endplay,False,True,False,1732171331.0,False
2024-11-21 06:47:34+00:00,android,305066,US,Hey Mama,Kanye West,Late Registration,spotify:track:46OFHBw45fNi7QNjSetITR,clickrow,trackdone,False,False,False,1732171347.0,False
2024-11-21 06:48:36+00:00,android,713,US,Celebration,Kanye West,Late Registration,spotify:track:7jAxGkXU58FwNMjqoMahn7,trackdone,endplay,False,True,False,1732171654.0,False
2024-11-21 06:51:52+00:00,android,188571,US,help herself,bbno$,help herself,spotify:track:4YMc3A256xFBS0xcT77Qce,clickrow,trackdone,False,False,False,1732171716.0,False
2024-11-21 06:52:55+00:00,android,61237,US,Two Lives,Rare Americans,Rare Americans 2,spotify:track:4E98cjhR1UVS4rlR9aiE6I,trackdone,endplay,True,True,False,1732171912.0,False
2024-11-21 06:53:13+00:00,android,17563,US,Without You Around,Rare Americans,Rare Americans 2,spotify:track:6J24mkFRWkNxD7ZiGLerqC,clickrow,endplay,False,True,False,1732171975.0,False
2024-11-21 06:56:47+00:00,android,183640,US,It Was You,Rare Americans,Rare Americans,spotify:track:6CSPVBlbevUtDHATKActwo,clickrow,trackdone,False,False,False,1732171993.0,False
2024-11-21 06:56:50+00:00,android,0,US,Pay Me Back,Rare Americans,Rare Americans,spotify:track:1H6qzZvQ50I7G9iOvxTSU8,trackdone,endplay,False,True,False,1732172207.0,False
2024-11-21 06:56:52+00:00,android,1953,US,Mercy Mercy,The Rare Occasions,Into The Shallows,spotify:track:24Pc46dlvmlLOCWocbNJby,playbtn,fwdbtn,True,True,False,1732172210.0,False
2024-11-21 06:56:54+00:00,android,1200,US,Freaking Out,The Wrecks,Infinitely Ordinary,spotify:track:2uvTqA4hY5Tsqgeu6iTTO2,fwdbtn,fwdbtn,True,True,False,1732172212.0,False
2024-11-21 06:56:57+00:00,android,2830,US,Neon Ocean,New Dialogue,Neon Ocean,spotify:track:1HVBFRVfv0Szzg6yBJhdbv,fwdbtn,fwdbtn,True,True,False,1732172214.0,False
2024-11-21 06:57:28+00:00,android,30250,US,DISASTER,KXLLSWXTCH,DISORDER,spotify:track:2Cp55Ka4ccy5JJRe6gBW8c,fwdbtn,fwdbtn,True,True,False,1732172217.0,False
2024-11-21 06:57:29+00:00,android,1292,US,Alien Blues,Vundabar,Gawk,spotify:track:11iIikXxC6NP0Ma8vMD27x,fwdbtn,fwdbtn,True,True,False,1732172248.0,False
2024-11-21 06:57:39+00:00,android,9541,US,505,Arctic Monkeys,Favourite Worst Nightmare,spotify:track:58ge6dfP91o9oXMzq3XkIS,fwdbtn,fwdbtn,True,True,False,1732172249.0,False
2024-11-21 06:57:40+00:00,android,1024,US,help herself,bbno$,help herself,spotify:track:4YMc3A256xFBS0xcT77Qce,fwdbtn,fwdbtn,True,True,False,1732172259.0,False
2024-11-21 06:57:41+00:00,android,1501,US,Melting (feat. EASAE),Danny Olson,Melting (feat. EASAE),spotify:track:0gsPInjPU6qsGGdLnpgTHD,fwdbtn,fwdbtn,True,True,False,1732172260.0,False
